Duração;sys_created_on;assignment_group;short_description;node;cmdb_ci;number;severity;parent;cmdb_ci.sys_class_name;source;sn_priority_group;state;sys_id;type.display_value;u_action_time;u_closed_date;acknowledged;correlation_group;event_count;incident;metric_name;message_key;com_remediacao;Pilar;tasks_count;tasks_numbers;self_healing_status
00:13:00;7/25/2025 3:44:22 AM;NOC;[Kubernetes] CPU throttling - corporate-ifa-advisor-customerwallet;xpi-prd-aks-02;xpi-prd-aks-02;Alert13715878;Medio / Minor;nan;Recurso de nuvem;SGO-Dynatrace;Baixo(a);Encerrado;67ecdd8c974ba2106e5efcb6f053afc1;CUSTOM_ALERT;0;7/25/2025 3:57:22 AM;FALSO;Nenhum(a);2;nan;CUSTOM_ALERT;-8130791968959124749_1753425540000V2-xpi-prd-aks-02;Sim;Infra;1;REM0081998;REM_OK
00:03:30;7/25/2025 4:04:19 AM;EndUser - Endpoints;CPU saturation;SP3SCORCH01.xpcorretora.com.br;sp3scorch01;Alert13715961;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;a771698c9787ea104487b55ef053afda;RESOURCE_CONTENTION;0;7/25/2025 4:07:49 AM;VERDADEIRO;Nenhum(a);2;nan;CPU_SATURATED;-749524450353668786_1753426710196V2-SP3SCORCH01.xpcorretora.com.br;Sim;Infra;1;REM0081999;REM_OK
00:04:50;7/25/2025 4:07:35 AM;Banco de dados - SqlServer;Memory saturation;az1psql20.xpcorretora.com.br;az1psql20;Alert13715963;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;673269cc47cf2e50b270fec4f26d435c;RESOURCE_CONTENTION;0;7/25/2025 4:12:25 AM;VERDADEIRO;Nenhum(a);2;nan;MEMORY_SATURATED;-9168626925753492509_1753426920205V2-az1psql20.xpcorretora.com.br;Sim;Infra;1;REM0082000;REM_OK
00:12:05;7/25/2025 4:10:26 AM;NOC;[Kubernetes] CPU throttling - corporate-ifa-advisor-customerwallet;xpi-prd-aks-02;xpi-prd-aks-02;Alert13715965;Medio / Minor;nan;Recurso de nuvem;SGO-Dynatrace;Baixo(a);Encerrado;11e2290847c76e50a456f2c5036d435f;CUSTOM_ALERT;0;7/25/2025 4:22:31 AM;FALSO;Nenhum(a);2;nan;CUSTOM_ALERT;7101374319099339638_1753427040000V2-xpi-prd-aks-02;Sim;Infra;1;REM0082001;REM_OK
00:02:15;7/25/2025 4:27:20 AM;Finance Ops;HadesProxy (Web) is in undesirable (stopped) state;PRDRCPROXY70.xpcorretora.com.br;prdrcproxy70;Alert13715997;Crítico;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;3cc66d8c3b47e610ab756c47f4e45a10;AVAILABILITY;0;7/25/2025 4:29:35 AM;FALSO;Nenhum(a);2;nan;SERVICE_AVAIBILITY;7673279419016440553_1753427530181V2-PRDRCPROXY70.xpcorretora.com.br;Sim;Infra;1;REM0082002;REM_OK
00:17:05;7/25/2025 4:32:26 AM;NOC;[Kubernetes] CPU throttling - corporate-ifa-advisor-customerwallet;xpi-prd-aks-02;xpi-prd-aks-02;Alert13716002;Medio / Minor;nan;Recurso de nuvem;SGO-Dynatrace;Baixo(a);Encerrado;67e765c887476e10959ec8440cbb3557;CUSTOM_ALERT;0;7/25/2025 4:49:31 AM;VERDADEIRO;Nenhum(a);2;nan;CUSTOM_ALERT;-3784700962483601654_1753428300000V2-xpi-prd-aks-02;Sim;Infra;1;REM0082003;REM_OK
00:14:10;7/25/2025 4:40:33 AM;;CPU saturation;aks-noc1-69407979-vmss00000D;;Alert13716010;Alto / Major;nan;None;SGO-Dynatrace;Baixo(a);Encerrado;e6c9258c97036e10b86c7727f053afc5;RESOURCE_CONTENTION;0;7/25/2025 4:54:43 AM;FALSO;Nenhum(a);2;nan;CPU_SATURATED;441975627294607595_1753428871859V2-aks-noc1-69407979-vmss00000D;Não;Infra;0;;REM_NOT_OK
00:03:40;7/25/2025 5:36:29 AM;Produtividade e Gestão;Low disk space;SP3SFB01IFA101.xpcorretora.com.br;sp3sfb01ifa101;Alert13716146;Alto / Major;nan;Windows Server;SGO-Dynatrace;Urgente;Encerrado;79963d0c974fea104487b55ef053af85;RESOURCE_CONTENTION;0;7/25/2025 5:40:09 AM;VERDADEIRO;Nenhum(a);2;nan;LOW_DISK_SPACE;8414697543178520765_1753432200000V2-SP3SFB01IFA101.xpcorretora.com.br;Não;Infra;0;;REM_NOT_OK
00:10:45;7/25/2025 6:01:23 AM;OrderFlow;Process unavailable;PRD_OMSRouter.exe;OMSRouter.exe@pxpoms03-dr;Alert13716236;Crítico;nan;Microsserviço;SGO-Dynatrace;Alto(a);Encerrado;aa4c3d4c3b8f621084491747f4e45ac9;AVAILABILITY;0;7/25/2025 6:12:08 AM;VERDADEIRO;Nenhum(a);3;nan;PROCESS_UNAVAILABLE;-6258295322936279361_1753434054368V2-PRD_OMSRouter.exe;Não;;0;;REM_NOT_OK
00:21:40;7/25/2025 6:14:25 AM;Produtividade e Gestão;Low disk space;SP3SFB01IFA101.xpcorretora.com.br;sp3sfb01ifa101;Alert13716278;Alto / Major;nan;Windows Server;SGO-Dynatrace;Urgente;Encerrado;e94f79848703221089d9ea480cbb352c;RESOURCE_CONTENTION;0;7/25/2025 6:36:05 AM;VERDADEIRO;Nenhum(a);2;nan;LOW_DISK_SPACE;7064890260563006835_1753434420000V2-SP3SFB01IFA101.xpcorretora.com.br;Não;Infra;0;;REM_NOT_OK
00:13:30;7/25/2025 6:23:31 AM;OrderFlow;CPU saturation;sp2fvprobe04.xpcorretora.com.br;sp2fvprobe04;Alert13716290;Alto / Major;nan;Servidor Linux;SGO-Dynatrace;Alto(a);Encerrado;fa518a803bcf66502a256747f4e45aed;RESOURCE_CONTENTION;763;7/25/2025 6:37:01 AM;VERDADEIRO;Nenhum(a);2;nan;CPU_SATURATED;7967281154158647968_1753435070199V2-sp2fvprobe04.xpcorretora.com.br;Sim;Infra;1;REM0082004;REM_OK
00:24:40;7/25/2025 7:09:26 AM;Produtividade e Gestão;Low disk space;SP3SFB01IFA101.xpcorretora.com.br;sp3sfb01ifa101;Alert13716431;Alto / Major;nan;Windows Server;SGO-Dynatrace;Urgente;Encerrado;dfdb0688470f2a10f15dfb72036d43bf;RESOURCE_CONTENTION;120;7/25/2025 7:34:06 AM;VERDADEIRO;Nenhum(a);2;nan;LOW_DISK_SPACE;-8229384692475204365_1753437780000V2-SP3SFB01IFA101.xpcorretora.com.br;Não;Infra;0;;REM_NOT_OK
00:01:30;7/25/2025 7:22:36 AM;Seguradora Previdência;Long garbage-collection time;;xps-pensionfunds-paymentgateway;Alert13716450;Alto / Major;nan;Serviço do Kubernetes;SGO-Dynatrace;Alto(a);Encerrado;9cee02043b43a6502a256747f4e45a7b;RESOURCE_CONTENTION;0;7/25/2025 7:24:06 AM;FALSO;Nenhum(a);2;nan;RESOURCE_CONTENTION;-2192252479630838102_1753438620000V2-PRD_XPS.PensionFunds.PaymentGateway.WebApi.dll prd (xps-pensionfunds-paymentgateway-7d4c774ccb-j78pp;Não;;0;;REM_NOT_OK
00:09:40;7/25/2025 8:50:59 AM;;CPU saturation;aks-noc1-69407979-vmss00000D;;Alert13716697;Alto / Major;nan;None;SGO-Dynatrace;Baixo(a);Encerrado;f213e2c497472210c5f1b5d6f053af33;RESOURCE_CONTENTION;0;7/25/2025 9:00:39 AM;VERDADEIRO;Nenhum(a);2;nan;CPU_SATURATED;1021409491954657285_1753443902655V2-aks-noc1-69407979-vmss00000D;Não;Infra;0;;REM_NOT_OK
00:03:50;7/25/2025 9:05:28 AM;REX Core;Memory saturation;SP2XPMCRCTD02.xpcorretora.com.br;sp2xpmcrctd02;Alert13716712;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;c3662a4c974f6e10b86c7727f053afdc;RESOURCE_CONTENTION;0;7/25/2025 9:09:18 AM;FALSO;Nenhum(a);2;nan;MEMORY_SATURATED;5524604412270972965_1753444800340V2-SP2XPMCRCTD02.xpcorretora.com.br;Sim;Infra;1;REM0082005;REM_OK
00:05:40;7/25/2025 9:38:23 AM;Growth;Long garbage-collection time;;corporate-securitiesservices-redeemnoquota;Alert13716741;Alto / Major;Alert13716743;Serviço do Kubernetes;SGO-Dynatrace;Moderado(a);Encerrado;19fdaa0087872210658f85580cbb3533;RESOURCE_CONTENTION;0;7/25/2025 9:44:03 AM;FALSO;Secundário(a);2;nan;RESOURCE_CONTENTION;331427195425207531_1753446780000V2-PRD_WebApi.dll prd (corporate-securitiesservices-redeemnoquota-primary-74b9df7xzdj6);Não;;0;;REM_NOT_OK
00:05:38;7/25/2025 9:38:25 AM;Growth;Long garbage-collection time;;corporate-securitiesservices-redeemnoquota;Alert13716742;Alto / Major;Alert13716743;Serviço do Kubernetes;SGO-Dynatrace;Moderado(a);Encerrado;3dfdea0087872210658f85580cbb3581;RESOURCE_CONTENTION;0;7/25/2025 9:44:03 AM;FALSO;Secundário(a);2;nan;RESOURCE_CONTENTION;331427195425207531_1753446780000V2-PRD_WebApi.dll prd (corporate-securitiesservices-redeemnoquota-primary-56bd7bf9r2rr);Não;;0;;REM_NOT_OK
00:29:25;7/25/2025 9:43:09 AM;Comunicações Unificadas;Memory saturation;SPCTPOLYWALL01.xpcorretora.com.br;spctpolywall01;Alert13716749;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;430fe6cc3b0be250a05cc037f4e45a56;RESOURCE_CONTENTION;1549;7/25/2025 10:12:34 AM;VERDADEIRO;Nenhum(a);2;nan;MEMORY_SATURATED;-3713842794007913003_1753447050174V2-SPCTPOLYWALL01.xpcorretora.com.br;Não;Infra;2;REM0082006, REM0082007;REM_OK
00:02:25;7/25/2025 9:52:55 AM;Pré Negociação;CPU saturation;zprdbullope03.xpcorretora.com.br;zprdbullope03;Alert13716851;Alto / Major;nan;Servidor Linux;SGO-Dynatrace;Alto(a);Encerrado;d6413a4887876e105a0a41170cbb35eb;RESOURCE_CONTENTION;0;7/25/2025 9:55:20 AM;FALSO;Nenhum(a);2;nan;CPU_SATURATED;4543462289171862350_1753446310074V2-zprdbullope03.xpcorretora.com.br;Sim;Infra;1;REM0082008;REM_OK
00:04:05;7/25/2025 10:01:56 AM;Asset;CPU saturation;SP2DSKBACKSEG.xpcorretora.com.br;sp2dskbackseg;Alert13716860;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;125372084743ee50a456f2c5036d43c9;RESOURCE_CONTENTION;0;7/25/2025 10:06:01 AM;VERDADEIRO;Nenhum(a);2;nan;CPU_SATURATED;-5667887659768249721_1753448160250V2-SP2DSKBACKSEG.xpcorretora.com.br;Sim;Infra;1;REM0082009;REM_OK
00:22:15;7/25/2025 10:17:25 AM;Comunicações Unificadas;Memory saturation;SPCTPOLYWALL01.xpcorretora.com.br;spctpolywall01;Alert13716872;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;09e6b284978fe650e62cb9b6f053af5a;RESOURCE_CONTENTION;0;7/25/2025 10:39:40 AM;VERDADEIRO;Nenhum(a);2;nan;MEMORY_SATURATED;-7122259462922021024_1753449110323V2-SPCTPOLYWALL01.xpcorretora.com.br;Não;Infra;2;REM0082010, REM0082011;REM_OK
00:14:15;7/25/2025 10:43:24 AM;Comunicações Unificadas;Memory saturation;SPCTPOLYWALL01.xpcorretora.com.br;spctpolywall01;Alert13716890;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;fddc3ec83bcbe250a05cc037f4e45aac;RESOURCE_CONTENTION;0;7/25/2025 10:57:39 AM;VERDADEIRO;Nenhum(a);2;nan;MEMORY_SATURATED;-218316584025992281_1753450670233V2-SPCTPOLYWALL01.xpcorretora.com.br;Não;Infra;2;REM0082012, REM0082013;REM_OK
00:06:40;7/25/2025 10:56:24 AM;Growth;Long garbage-collection time;;corporate-securitiesservices-redeemnoquota;Alert13717018;Alto / Major;Alert13717020;Serviço do Kubernetes;SGO-Dynatrace;Moderado(a);Encerrado;08df7e80978b6e104487b55ef053afd1;RESOURCE_CONTENTION;0;7/25/2025 11:03:04 AM;FALSO;Secundário(a);5;nan;RESOURCE_CONTENTION;8684853559254817487_1753451460000V2-PRD_WebApi.dll prd (corporate-securitiesservices-redeemnoquota-primary-74b9df7xzdj6);Não;;0;;REM_NOT_OK
00:06:39;7/25/2025 10:56:25 AM;Growth;Long garbage-collection time;;corporate-securitiesservices-redeemnoquota;Alert13717019;Alto / Major;Alert13717020;Serviço do Kubernetes;SGO-Dynatrace;Moderado(a);Encerrado;58dfb2c0978b6e104487b55ef053af73;RESOURCE_CONTENTION;0;7/25/2025 11:03:04 AM;FALSO;Secundário(a);5;nan;RESOURCE_CONTENTION;8684853559254817487_1753451460000V2-PRD_WebApi.dll prd (corporate-securitiesservices-redeemnoquota-primary-56bd7bf7fl95);Não;;0;;REM_NOT_OK
00:06:00;7/25/2025 10:57:04 AM;Growth;Long garbage-collection time;;corporate-securitiesservices-redeemnoquota;Alert13717021;Alto / Major;Alert13717020;Serviço do Kubernetes;SGO-Dynatrace;Moderado(a);Encerrado;31ff7204978b6e104487b55ef053afae;RESOURCE_CONTENTION;0;7/25/2025 11:03:04 AM;FALSO;Secundário(a);4;nan;RESOURCE_CONTENTION;8684853559254817487_1753451460000V2-PRD_WebApi.dll prd (corporate-securitiesservices-redeemnoquota-primary-56bd7bfx2997);Não;;0;;REM_NOT_OK
00:02:00;7/25/2025 11:01:04 AM;Growth;Long garbage-collection time;;corporate-securitiesservices-redeemnoquota;Alert13717025;Alto / Major;Alert13717020;Serviço do Kubernetes;SGO-Dynatrace;Moderado(a);Encerrado;e8e0c78c978b6e104487b55ef053af56;RESOURCE_CONTENTION;0;7/25/2025 11:03:04 AM;FALSO;Secundário(a);2;nan;RESOURCE_CONTENTION;8684853559254817487_1753451460000V2-PRD_WebApi.dll prd (corporate-securitiesservices-redeemnoquota-primary-56bd7bf9r2rr);Não;;0;;REM_NOT_OK
00:16:30;7/25/2025 11:39:36 AM;REX Core;Low disk space;sp2prdxpmcr08.xpcorretora.com.br;sp2prdxpmcr08;Alert13717040;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;f8b9cf443bcfa6502a256747f4e45ad1;RESOURCE_CONTENTION;328;7/25/2025 11:56:06 AM;VERDADEIRO;Nenhum(a);2;nan;LOW_DISK_SPACE;-4705243705853432256_1753453980000V2-sp2prdxpmcr08.xpcorretora.com.br;Não;Infra;0;;REM_NOT_OK
00:05:40;7/25/2025 12:08:25 PM;Growth;Long garbage-collection time;;corporate-securitiesservices-redeemnoquota;Alert13717166;Alto / Major;nan;Serviço do Kubernetes;SGO-Dynatrace;Alto(a);Encerrado;cb4093c8474bee50a456f2c5036d43a5;RESOURCE_CONTENTION;0;7/25/2025 12:14:05 PM;VERDADEIRO;Nenhum(a);2;nan;RESOURCE_CONTENTION;9187402020939173807_1753455780000V2-PRD_WebApi.dll prd (corporate-securitiesservices-redeemnoquota-primary-74b9df7xzdj6);Não;;0;;REM_NOT_OK
00:03:30;7/25/2025 12:38:34 PM;Growth;Long garbage-collection time;;corporate-securitiesservices-redeemnoquota;Alert13717187;Alto / Major;Alert13717189;Serviço do Kubernetes;SGO-Dynatrace;Moderado(a);Encerrado;6437d30097c36210c5f1b5d6f053af11;RESOURCE_CONTENTION;0;7/25/2025 12:42:04 PM;FALSO;Secundário(a);4;nan;RESOURCE_CONTENTION;3270601683713086446_1753457580000V2-PRD_WebApi.dll prd (corporate-securitiesservices-redeemnoquota-primary-74b9df7l6jkv);Não;;0;;REM_NOT_OK
00:02:55;7/25/2025 12:39:09 PM;Growth;Long garbage-collection time;;corporate-securitiesservices-redeemnoquota;Alert13717188;Alto / Major;Alert13717189;Serviço do Kubernetes;SGO-Dynatrace;Moderado(a);Encerrado;cd57134097c36210c5f1b5d6f053af7a;RESOURCE_CONTENTION;0;7/25/2025 12:42:04 PM;FALSO;Secundário(a);3;nan;RESOURCE_CONTENTION;3270601683713086446_1753457580000V2-PRD_WebApi.dll prd (corporate-securitiesservices-redeemnoquota-primary-74b9df7xzdj6);Não;;0;;REM_NOT_OK
00:11:45;7/25/2025 1:21:56 PM;;CPU saturation;aks-noc1-69407979-vmss00000D;;Alert13717308;Alto / Major;nan;None;SGO-Dynatrace;Moderado(a);Encerrado;bf1127003b07e6502a256747f4e45a96;RESOURCE_CONTENTION;0;7/25/2025 1:33:41 PM;VERDADEIRO;Nenhum(a);2;nan;CPU_SATURATED;46132019544115840_1753458831752V2-aks-noc1-69407979-vmss00000D;Não;Infra;0;;REM_NOT_OK
00:46:35;7/25/2025 1:42:01 PM;Pós Negociação RF e RV;Process unavailable;PRD_Sinacor.Ape.Custodia.ManipulacaoArquivos.WService.exe;Sinacor.Ape.Custodia.ManipulacaoArquivos.WService.exe@sinacorstress01;Alert13717319;Crítico;nan;Microsserviço;SGO-Dynatrace;Alto(a);Encerrado;02b52380478fee50a456f2c5036d4353;AVAILABILITY;984;7/25/2025 2:28:36 PM;VERDADEIRO;Nenhum(a);2;nan;PROCESS_UNAVAILABLE;-6136234185195902729_1753461599999V2-PRD_Sinacor.Ape.Custodia.ManipulacaoArquivos.WService.exe;Não;;0;;REM_NOT_OK
00:13:35;7/25/2025 2:38:59 PM;Pós Negociação RF e RV;Process unavailable;PRD_Sinacor.Ape.Custodia.ManipulacaoArquivos.WService.exe;Sinacor.Ape.Custodia.ManipulacaoArquivos.WService.exe@sinacorstress01;Alert13717419;Crítico;nan;Microsserviço;SGO-Dynatrace;Alto(a);Encerrado;ecc2bb4c97cfa210ff0efb96f053afd9;AVAILABILITY;304;7/25/2025 2:52:34 PM;VERDADEIRO;Nenhum(a);2;nan;PROCESS_UNAVAILABLE;7569838634616593142_1753464990273V2-PRD_Sinacor.Ape.Custodia.ManipulacaoArquivos.WService.exe;Não;;0;;REM_NOT_OK
00:31:10;7/25/2025 3:02:01 PM;Pós Negociação RF e RV;Process unavailable;PRD_Sinacor.Ape.Custodia.ManipulacaoArquivos.WService.exe;Sinacor.Ape.Custodia.ManipulacaoArquivos.WService.exe@sinacorstress01;Alert13717519;Crítico;nan;Microsserviço;SGO-Dynatrace;Alto(a);Encerrado;4e0837488743ee10959ec8440cbb35d6;AVAILABILITY;0;7/25/2025 3:33:11 PM;VERDADEIRO;Nenhum(a);2;nan;PROCESS_UNAVAILABLE;4871293117892355469_1753466399999V2-PRD_Sinacor.Ape.Custodia.ManipulacaoArquivos.WService.exe;Não;;0;;REM_NOT_OK
00:13:35;7/25/2025 3:30:29 PM;;Memory saturation;SP3TECXPSTR15.xpcorretora.com.br;sp3tecxpstr15;Alert13717533;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;838e77cc3b872650a05cc037f4e45af6;RESOURCE_CONTENTION;0;7/25/2025 3:44:04 PM;VERDADEIRO;Nenhum(a);2;nan;MEMORY_SATURATED;9074509447443938723_1753467871226V2-SP3TECXPSTR15.xpcorretora.com.br;Sim;Infra;1;REM0082015;REM_OK
00:18:10;7/25/2025 3:57:46 PM;Infraestrutura Datacenter;Memory saturation;SP3TECXPSTR15.xpcorretora.com.br;sp3tecxpstr15;Alert13717661;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;6ec4c4d4470faa10f15dfb72036d4315;RESOURCE_CONTENTION;0;7/25/2025 4:15:56 PM;VERDADEIRO;Nenhum(a);2;nan;MEMORY_SATURATED;-8349067067882045422_1753469510345V2-SP3TECXPSTR15.xpcorretora.com.br;Sim;Infra;1;REM0082016;REM_OK
00:06:30;7/25/2025 4:08:38 PM;Infraestrutura Datacenter;Long garbage-collection time;PRD_IIS app pool Pub;IIS app pool Pub@sp3tecxpstr15;Alert13717666;Alto / Major;nan;Microsserviço;SGO-Dynatrace;Alto(a);Encerrado;bd47841047032210a456f2c5036d438c;RESOURCE_CONTENTION;0;7/25/2025 4:15:08 PM;FALSO;Nenhum(a);2;nan;HIGH_GC_ACTIVITY;-7804617144695727054_1753470120000V2-PRD_IIS app pool Pub;Não;;0;;REM_NOT_OK
00:16:05;7/25/2025 4:27:39 PM;Controle de Acessos;Memory saturation;SP2VAULTRDP01.xpcorretora.com.br;sp2vaultrdp01;Alert13717680;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;d8ab841c970fae104487b55ef053af08;RESOURCE_CONTENTION;818;7/25/2025 4:43:44 PM;VERDADEIRO;Nenhum(a);2;nan;MEMORY_SATURATED;4319947865303387623_1753471310190V2-SP2VAULTRDP01.xpcorretora.com.br;Sim;Infra;1;REM0082018;REM_OK
00:04:20;7/25/2025 5:05:23 PM;Banco de dados - SqlServer;CPU saturation;sp3sql23.xpcorretora.com.br;sp3sql23;Alert13717788;Alto / Major;Alert13717789;Windows Server;SGO-Dynatrace;Urgente;Encerrado;0d445c9c3b0be21084491747f4e45a98;RESOURCE_CONTENTION;0;7/25/2025 5:09:43 PM;FALSO;Secundário(a);2;nan;CPU_SATURATED;-8166575826984740612_1753473570126V2-sp3sql23.xpcorretora.com.br;Sim;Infra;1;REM0082019;REM_OK
00:11:00;7/25/2025 7:50:49 PM;NOC;[Kubernetes] OOM - xpinc-opf-datascaling-parser;xpi-prd-aks-01;xpi-prd-aks-01;Alert13718109;Medio / Minor;nan;Recurso de nuvem;SGO-Dynatrace;Alto(a);Encerrado;ec2a349c3b436650a05cc037f4e45ae4;CUSTOM_ALERT;0;7/25/2025 8:01:49 PM;VERDADEIRO;Nenhum(a);2;nan;CUSTOM_ALERT;4887852439319388548_1753483260000V2-xpi-prd-aks-01;Sim;Infra;1;REM0082022;REM_OK
00:03:00;7/25/2025 7:53:45 PM;NOC;[Kubernetes] OOM - xpinc-opf-datascaling-parser;xpi-prd-aks-02;xpi-prd-aks-02;Alert13718110;Medio / Minor;nan;Recurso de nuvem;SGO-Dynatrace;Alto(a);Encerrado;5fcab49c97832210b86c7727f053afd6;CUSTOM_ALERT;0;7/25/2025 7:56:45 PM;FALSO;Nenhum(a);2;nan;CUSTOM_ALERT;-5147604241460143564_1753483080000V2-xpi-prd-aks-02;Sim;Infra;1;REM0082023;REM_OK
